tweetid,user,content,date,lang,sentiment
768062895053742080,155963853,"@joseche_jagg @adsuara +10000, cremos una agencia de contratacion de temporales, a ver como se vende a los sindicatos",2016-08-23 12:30:38+00:00,es,none
768059359934943232,2989751283,@soyalt_es estaremos atentas a las novedades futuras el final del verano no sera igual sin vosotros,2016-08-23 12:16:35+00:00,es,0
768057277865717760,2826300168,"confirmao tengo el pie roto, he notado como el puto hueso se movia",2016-08-23 12:08:19+00:00,es,0
768074230541975552,99989361,@cobos_rebeca a ti por responder espero y deseo que te salgan nuevos proyectos besitos,2016-08-23 13:15:41+00:00,es,1
768073919169458176,2521443957,@puunissher @kingkongjulen @xcoorsa @yuniiiiitoo @youtube oye corsa  que yo no he jugado contra puni en lan,2016-08-23 13:14:27+00:00,es,none
768071942096166912,365143716,"@jordicanal64 pues si no fichan ""lo que sea"" ademas de un ridiculo espantoso igual qsf nos deja plantadosesperemos que no",2016-08-23 13:06:35+00:00,es,0
768071491447652352,45579875,@virsnroses cuando esten los 20 contactados y aprobados se publicara el listado en nuestra web,2016-08-23 13:04:48+00:00,es,none
768083732356075520,2881771313,"@edu_rnieves te la recomiendo, parece monotona pero hay capitulos que vuelven a subir el interes",2016-08-23 13:53:26+00:00,es,1
768082578519785472,243287534,ya no tengo capitulos de juego de tronos para ver me siento vacia,2016-08-23 13:48:51+00:00,es,0
768497346342772736,598404732,@futbolero93 solo recuerda que iman es tranquila,2016-08-24 17:17:00+00:00,es,1
768496682082373632,241257094,"@altealasueca en el debate que he estado leyendo, en el blog de silvio @citaconsilvio lo pone el gran @feliuvicente citando al che",2016-08-24 17:14:21+00:00,es,none
768557093955698688,2307052880,"comprendo que te molen mis tattoos, pero no te los hagas 'iguales'",2016-08-24 21:14:24+00:00,es,neu
768557081561591808,424708633,@_betterton @juanrallo para cometer atentados terroristas (2 no creo que entonces existiera el burkini,2016-08-24 21:14:22+00:00,es,none
768512386269638656,414042522,@morbosaborealis jajajaja eso es verdad aqui no hay uno cuerdo,2016-08-24 18:16:45+00:00,es,0
768511417846730752,1388971410,@xqwcrp @xoancarv un lapsus advertido gracias a @cascarelo y subsanado gracias por tu aportacion,2016-08-24 18:12:54+00:00,es,1
768530671132352512,88010751,@ivnlz el resto puedo dudar pero de ese grupo lo tengo claro,2016-08-24 19:29:25+00:00,es,neu
768530491104497664,110294749,@pirata__roberts hay gente muy buena trabajando duro en @spherasports palabras asi impulsan  @eliperezup,2016-08-24 19:28:42+00:00,es,1
768529956162924544,82183604,@adriansoler espero y deseo que el interior te cause lo mismo,2016-08-24 19:26:34+00:00,es,neu
768529333493391360,1482872964,"@faranduleroyo pues espero que no lo digas por mi niña o no voto mas  memeo, bueno cada uno tendra su opinion +",2016-08-24 19:24:06+00:00,es,0
768529250257338368,39974834,@tabernita @ptraciogg pregunta seria  para cuando kedada/cañas de gente twittera de la zona,2016-08-24 19:23:46+00:00,es,none
768529047878004736,2453472282,"@garbimuguruza yo cuando pueda quiero tener el omega constellation,, con los numericos romanos",2016-08-24 19:22:58+00:00,es,1
768562609029255168,363871375,@feralcazar_ es grasioso porque en vez de aspirar a ser alcalde aspiras a concejal,2016-08-24 21:36:19+00:00,es,0
768562544239927296,2539333134,hoy quiero hacer otro juego de estos de tw pero esque son todos iguales,2016-08-24 21:36:04+00:00,es,0
768562373472976896,150293517,"@eleder_ que tampoco ahora mayoria absoluta, eh",2016-08-24 21:35:23+00:00,es,none
768562234582851584,311621119,por desgracia el sorteo que tenia pensado hacer es solo para gente de europa  ya hare mas sorteos para todo el mundo,2016-08-24 21:34:50+00:00,es,0
768561417037512704,2337961695,yo me cago en los muertos de todas las bacterias malignas de mi garganta,2016-08-24 21:31:35+00:00,es,0
768559589470117888,105629019,@reyminguela20 la proxima vez que vaya a madrid no estaras en mis planes maldita,2016-08-24 21:24:19+00:00,es,0
768564864117866496,2163763112,@flyfap no habia parada pero he visto una rotonda mu bonica en la que ponia nules,2016-08-24 21:45:17+00:00,es,1
768564709712883712,598404732,"@hayar_96 abandone mi tierra y llegue justo ayer a españa, estoy sensible, te odio",2016-08-24 21:44:40+00:00,es,0
768544186853359616,500021417,"ahora que estoy en madrid casi no puedo hacer fotos chachis, solo a mi careto y no",2016-08-24 20:23:07+00:00,es,0
768543848742150144,154927365,@eduardo_pers ps que las exterminen por mi salud mental  (y pa que pueda dejar de hacer el ridiculo por la calle jajajaj,2016-08-24 20:21:47+00:00,es,0
768566966906974208,424708633,"@kosto_trading @juanrallo lo de prohibir el casco e ir enmascarado tambien es arbitrario y sectario, no",2016-08-24 21:53:38+00:00,es,0
768566746773159936,20556318,@lirondos ya lo tenia fichado y tengo ganas de darle uso  gracias,2016-08-24 21:52:46+00:00,es,1
768511063545483264,733645859162882048,@radioskylab_es pero explicar a fondo las zonas habitables y que condiciones necesita un planeta para serlo,2016-08-24 18:11:30+00:00,es,none
768510568642842624,285319032,"@librosdemaria no se si hubo mas gente, pero ayer te taguee yo  ayy, hannibal es que moooooola tanto",2016-08-24 18:09:32+00:00,es,1
768526478720065536,241257094,otegi inhabilitado eslasentencia mujeres tapadas hasta los ojos essucultura teneis un sentido inamovible del mundo y de la vida,2016-08-24 19:12:45+00:00,es,0
768524445657001984,35452550,"@santicid ay, gracias lo malo es que ese es solo para primer viaje pero mil gracias igualmente",2016-08-24 19:04:40+00:00,es,1
768549166729555968,250850522,"madrid esta lleno de comida y crushes, no me lleveis de aqui",2016-08-24 20:42:54+00:00,es,0
768547980924293120,215249614,@albueto @ferderer2 @tipsterapuesta los reyes magos son mas reales que este,2016-08-24 20:38:12+00:00,es,0
768528725545742336,763891759,"es worth para coger el bonus, pero es mucho mas divertido luchar",2016-08-24 19:21:41+00:00,es,neu
768547709519294464,201691223,@iwanancho quiero un linoone con tambor y velocidad extrema pero es de esos especiales de generaciones pasadas que ya no se puede,2016-08-24 20:37:07+00:00,es,0
768547351443169280,601092357,"@tidxs_ 27 parece que las cosas no te van muy bien, espero que todo mejore, que todo el mundo merece ser feliz",2016-08-24 20:35:42+00:00,es,neu
768521914704887808,2313533023,@matidiazwarrior @severinoiezzi @maxisanchez06 nos sumamos a la felicitacion a un grande,2016-08-24 18:54:37+00:00,es,1
768546051112443904,269484828,"@david_goen00 venga jimbre, lo que debes haver es hacerte cadista",2016-08-24 20:30:32+00:00,es,neu
768545629522067456,167346258,dio tener un perro es la ilusion de mi puta vida,2016-08-24 20:28:51+00:00,es,1
768544990595284992,257216993,@royaldarjeeling muy mal jajaja mas geralt de rivia y menos juego de tronos,2016-08-24 20:26:19+00:00,es,0
768591525773189120,3929804417,por que me gusta mas tu personalidad que cualquier espalda ancha,2016-08-24 23:31:14+00:00,es,1
768591189746548736,307532998,@sergiosmiles mirate d gray-man desde cero puta,2016-08-24 23:29:54+00:00,es,0
768590604326539264,470367253,"@berothw por supuesto, en el mercadona hombre, encima que soy crush de alguien",2016-08-24 23:27:34+00:00,es,neu
768589770062753792,373451203,hay alguien apuntando a mi ventana con un laser define pesadito,2016-08-24 23:24:15+00:00,es,0
768586174470455296,1380471302,no entiendo de verdad porque la gente cree que en realidad me la suda,2016-08-24 23:09:58+00:00,es,0
768588994556813312,591670163,"llevo como una hora repitiendo ""no debi haber bebido ese ultimo monster"" teniendo que madrugar mi vida",2016-08-24 23:21:10+00:00,es,0
768588061496209408,412565048,"@brujadeltuiters  estas palabras, del poema, instantes, son de nadine stair escritora norteamericana, a la q le gustan los helados",2016-08-24 23:17:28+00:00,es,neu
768556112488587264,110294749,"@unculemadrid si al final acabamos hablando un rato, era muy simpatica  @jovigobi",2016-08-24 21:10:30+00:00,es,1
768577963885522944,3034426558,este año el madrid hara triplete y si lo hace me rapo al cero  grabad el mensaje jejej chiringuitopique,2016-08-24 22:37:20+00:00,es,1
768577563933413376,245414893,@valenciacf mis sentimientos y mi orgullo por el valencia son muy grandes yo quiero lo mejor para el valencia,2016-08-24 22:35:45+00:00,es,1
768579487986573312,1254955698,"@przuppo @lolap245 me quedo con lo primer ""un pensamiento en un clic""",2016-08-24 22:43:24+00:00,es,none
768578741316583424,1632978691,@landspecies y sentimos empatia hacia cualquier ser vivo sin distincion,2016-08-24 22:40:26+00:00,es,1
768576236721496064,1972517863,gracias tormenta por aparecer justo cuando me voy a meter en cama solita,2016-08-24 22:30:28+00:00,es,0
768576032282673152,461383458,@monysito pues pocas cosas mas bonitas puedes ver en la vida oye,2016-08-24 22:29:40+00:00,es,1
768575453410058240,2809090109,"@graffitera23 que hermoso,es bueno desviar la mirada al cielo y a las nubes de vez en cuando,abajo esta jodidopreciosa foto,mil abrazos",2016-08-24 22:27:22+00:00,es,1
768574373213200384,461383458,@monysito en la vida puede verseme una teta porque cuando me eche la foto no estaba desnuda,2016-08-24 22:23:04+00:00,es,0
768581320935104512,424708633,"@juanrallo ya, ya el edificio a si, el edificio b no facilisimo de articular",2016-08-24 22:50:41+00:00,es,1
768580520821329920,2949869175,mañana es muy probablee que caiga un directo y ya sabeis lo que pasa en los directos,2016-08-24 22:47:30+00:00,es,neu
768582085376405504,620096178,@paloma_cv12 el club de la comedia se ha quedado demasiado grande monologuista jaja,2016-08-24 22:53:43+00:00,es,neu
768581607112441856,220410893,"lamento decirles que ya no soy calvo, mi calva perfecta se ve opacada por mi pelo",2016-08-24 22:51:49+00:00,es,1
768581403344797696,546668125,@jorgeoneer ya pero no soy mucho de pc no es muy potente el mio,2016-08-24 22:51:00+00:00,es,0
768500066315300864,470544958,"@miguelbarranco5 @llautet @belenfgonzalez @pastoreta1 @betemilio @txemadomi @minadeideas hola miguel no,ahora estoy en ella",2016-08-24 17:27:48+00:00,es,none
768499472540241920,1829861191,nominada por @learamartell aqui van nuestras pelis y nuestros taggeados  https://tco/hwqxw19rjr,2016-08-24 17:25:26+00:00,es,none
768504713650241536,459466570,ya me esta jodiendo la tarde pepbueno mevoy a dar unpaseo,2016-08-24 17:46:16+00:00,es,0
768508909585858560,241257094,"@aitor48 prohibirlo, no se pueden hacer campañas, pedagogia y no aplaudir como estan haciendo muchas pseudo-feministas  @ladypalo",2016-08-24 18:02:56+00:00,es,0
768508856301457408,256943180,@lahierritos pues sabran mes q jo *curso ccc de mirones y mironas,2016-08-24 18:02:44+00:00,es,0
768508490650423296,369649173,"he puesto la radio solo pa escucharle jajajajajajaja ai, que ganas de verle ya ostia",2016-08-24 18:01:17+00:00,es,1
768532035984101376,186170312,@slow_dancer_ totalmente  pobre gappy que inocente es  no sabe con quien se ha encontrado,2016-08-24 19:34:50+00:00,es,0
768531597482156032,601092357,"@tidxs_ 2 hace mucho tiempo hablabamos por skype por un amigo en comun y estaba guay, ademas de que eres muy mona",2016-08-24 19:33:06+00:00,es,1
768534019927597056,2695202285,@angela_m_a_ hombre me dices que se oia mal  yo soy defensora de amaiah a morir jajaj,2016-08-24 19:42:43+00:00,es,neu
768533994170359808,2847086115,"quiero que vuelva el invierno  y ponerme pantalones largos y chaquetas y sudaderas y abrigos, puto verano",2016-08-24 19:42:37+00:00,es,0
768533681023639552,449866225,pensar en irse pronto a la cama y ver que dan 2 capitulos de minorityreport la mejor manera de alegrarse la noche,2016-08-24 19:41:22+00:00,es,1
768536844522979328,635624391,"@danirs95 somos el pacma, a todos caemos bien pero nadie nos quiere lloremos juntos",2016-08-24 19:53:57+00:00,es,0
768535999924334592,361760456,cuando sufres porque no encuentras emulador para jugar al pokemon rubi en ios 934,2016-08-24 19:50:35+00:00,es,0
768535920450600960,2393387477,@lentejitas @manuj_hidalgo @lupesb77 convenciendo a mi hija mayor para verlo,2016-08-24 19:50:16+00:00,es,none
768513758431965184,241257094,@ideiazabaldu no queda ni un pais arabe laico hasta con argelia y tunez estan acabando,2016-08-24 18:22:12+00:00,es,0
768595094958145536,620125413,"@_tontonina porque somos de mostoles, salir de nuestro ambiente es dificil",2016-08-24 23:45:25+00:00,es,0
768594628815839232,2951850321,ola wapa k tal stas spero k no seas una sorra kmo las otras xikas - machirulo que cojones jajsakjkjsadjjsjasjajaja,2016-08-24 23:43:33+00:00,es,0
768594172240592896,38192758,@sweetbiix pues ahi lo tienes si tu no huyes entonces eres una luchadora y no una cobarde no,2016-08-24 23:41:45+00:00,es,1
768596566378774528,76593802,es conveniente tener un gobierno democratico que cumpla su funcion politica no lo es tener un gobierno que representa la corrupcionpp,2016-08-24 23:51:15+00:00,es,0
768596494920323072,347494552,@ann_lloret99 @luv_m0ney_party los salidos son los q suben cosas a esa pagina no yo,2016-08-24 23:50:58+00:00,es,0
768596407431430144,2951921242,"otra noche hasta las 4 de la mañana despierta, aburrida y sin sueño, lo veo venir",2016-08-24 23:50:38+00:00,es,0
768568980000874496,435301858,@crususmusus_ me lo apunto en la lista de cosas posibles de hacer,2016-08-24 22:01:38+00:00,es,none
768568209159184384,572913138,"@shawnupdatessa esta no es, le tienes que dar a us store, solo se vende en us y canada  por ahora claro",2016-08-24 21:58:35+00:00,es,0
768568145607024640,488508886,es triste que casi todas mis series acabadas hayan sido porque las han cancelado,2016-08-24 21:58:19+00:00,es,0
768568061544849408,3293916292,@adri_buzo @fulgenlison nop pero ahora me queda mas claro el asunto  gracias ,2016-08-24 21:57:59+00:00,es,1
768592454601809920,266309908,solo queria hablar con gente en verda,2016-08-24 23:34:55+00:00,es,neu
768592219641085952,2583671928,como entraba una conversacion de estas largas de hablar toda la noche con alguien,2016-08-24 23:33:59+00:00,es,none
768570743722536960,424708633,@kosto_trading @juanrallo o ponerte un casco de moto que te cubra por entero,2016-08-24 22:08:39+00:00,es,none
768572230292869120,76019110,"@yolanday_y @el_pais tras 72000 años de viaje, conformate con que haya moleculas de potasio y esten buenas",2016-08-24 22:14:33+00:00,es,1
768571999690031104,110294749,@mafolu2 no creas pero me gusta tener a la gente engañada  @granctimes,2016-08-24 22:13:38+00:00,es,1
768571461900591104,3234273083,tu que he ido a cenar a mar de cristal y me he inflado y me duele la barriga,2016-08-24 22:11:30+00:00,es,0
768597310351765504,358169553,"mira que soy pesimista a maza, pero odio que la gente sea taaaan pesimista",2016-08-24 23:54:13+00:00,es,0
768489417107443712,3053268152,"@vanderhast jajajaja en cuanto salga de mi bucle infinito con la casa, me imprimo los mapas a dos y lo estreno",2016-08-24 16:45:29+00:00,es,1
768463313801969664,615002402,"@violetatrujillo yo me resigno con alguna gente, si se creen a este personaje es porque no estan dispuestos a escuchar",2016-08-24 15:01:46+00:00,es,0
768487949482729472,207619357,"@baronachor el concepto es de lo mas bonico, pero de eso a serlo hay un trecho",2016-08-24 16:39:39+00:00,es,neu
768487818343612416,309837092,tener las piernas llenas de picaduras de mosquitos que parecen heridas no me hace gracia,2016-08-24 16:39:08+00:00,es,0
768487102308818944,991681351,@liamverse se llama saber cual es la mejor forma de crear estructuras que aguanten ese peso,2016-08-24 16:36:17+00:00,es,none
768501514725912576,14641944,"@mercadolibre enhorabuena por los geniales resultados economicos de record del trimestre pasado, haceis un gran trabajo",2016-08-24 17:33:33+00:00,es,1
768498804526055424,153816503,hay una exposicion de cuadros y uno de ellos esta estropeandose por el agua del aire acondicionado que le cae encima,2016-08-24 17:22:47+00:00,es,0
768498608870219776,407262422,"@crimsonghost__ tio entonces piensas que mosca es un insulto, yo creo que eso es un poco irrespetuoso a las pobres",2016-08-24 17:22:01+00:00,es,0
768498107898355712,311621119,@pattycavallone para los chicos es mil veces mas facil donar que para las chicas,2016-08-24 17:20:01+00:00,es,neu
768497936351232000,313205473,lo malo es que faltaba su mid y acabaron haciendo remake,2016-08-24 17:19:20+00:00,es,0
768497668347850752,248183331,@diego_fdm @el_pais la noticia perfecta para notasdelmisterio,2016-08-24 17:18:16+00:00,es,1
768479078072606720,1400169752,hoy toca escuchar a miguelrios con otros grandes artistas  insurreccion,2016-08-24 16:04:24+00:00,es,1
768478485702647808,487779914,el espanyol interesado en akti mel para reforzar su defensa esta temporada llegaria por 2 millones del l-casei imunitas griego,2016-08-24 16:02:03+00:00,es,none
768506208051494912,3020614846,@iluminaughty_ @spiegel_spike_ pues me da igual  yo escribo lo que pienso ^^ y cuando lo pienso ajajaj si es que lo pienso,2016-08-24 17:52:12+00:00,es,none
768470879906979840,1946666606,"@miguelagaiteiro @cultrun @lozanoirene si hay que pecar de algo, que sea de ser buena gente",2016-08-24 15:31:49+00:00,es,1
768470471616659456,130906485,"@juakyb me quedo tranquilo entonces, pero ire mirando la opcion del coche",2016-08-24 15:30:12+00:00,es,1
768469401368748032,311064777,mi puto novio me ignora y quiero saber si hay un chino cerca de la biblioteca,2016-08-24 15:25:57+00:00,es,0
768519871726518272,564946577,he salido de casa sin ir al baño y me estoy meando como una persona mayor,2016-08-24 18:46:30+00:00,es,0
768515769579823104,3369044926,"@ferdiazgil @frandguez si, lo he leido ese templo grande es el que he puesto en ig ha perdido su parte superior y esta inaccesible",2016-08-24 18:30:12+00:00,es,0
768515256079482880,176776564,"@adrimarinab asi me gusta, cada cosa a su ccaa asi dejamos de cargar las culpas a nuestra querida nacion",2016-08-24 18:28:10+00:00,es,0
768493798049611776,1086964045,"@manudeorleans pues yo no hay manera, y eso que tengo recuerdo lejano y de stats tengo una media de 69-70",2016-08-24 17:02:54+00:00,es,0
768493600846012416,521551767,"@pobrezacero @nuevatribuna @ruthtoledano @felipealcarazm @carlosbardem @carnecrudaradio @agarzon @cayo_lara vamos mal, no peor",2016-08-24 17:02:07+00:00,es,0
768492686173175808,11259252,"@lonchbox aaahm bueno, disfruta la vida por esos lares, yo me vuelvo a rusia en breve",2016-08-24 16:58:28+00:00,es,neu
768516996514377728,260905241,silvia pesada deja de dar rt que me sale doble notificacion,2016-08-24 18:35:04+00:00,es,0
768495148321894400,2884329892,"@neithanwolf @cinefila_91 @cinedepatio @sensacine ""resultad sobrevives"" lo de estar loco funciona",2016-08-24 17:08:15+00:00,es,neu
768494796826632192,241257094,"@concht1 pero nos hemos desmovilizado, concha nosotros/as solas dejamos las calles asi nos va  @ciudadanoscs",2016-08-24 17:06:52+00:00,es,0
768521153002569728,335657700,en realida e algo duro de asimilar ni el alcohol me ayuda,2016-08-24 18:51:35+00:00,es,0
768520829688770560,7200582,@boardgametotal los abacos si estan permitidos sobre todo porque la mayoria no saben usarlo,2016-08-24 18:50:18+00:00,es,0
768491722116587520,13005752,@beautyblog_es @isasaweis @_anamilan_ ohhhhh eso tiene que ser muy divertido  me imagino que los hombres estan vetados no,2016-08-24 16:54:39+00:00,es,1
767473312087805952,2751683985,tio os quiero mil a los que me habeis hablado,2016-08-21 21:27:51+00:00,es,1
767536972952928256,326311057,"habia un hombre en la calle estornudo y yo desde la ventana le he dicho ""salud"" me miro mal y siguio caminando",2016-08-22 01:40:49+00:00,es,0
767531479207411712,1459952646,"me veis en persona, no me saludais y luego me hablais para decirme que me habeis visto",2016-08-22 01:18:59+00:00,es,0
767531452686893056,3323605979,"@blasauryn si es que no puedo olvidar cuando te viii, imposible que resumiendo, no te puedo olvidar  y no lo hare jamas chiqui",2016-08-22 01:18:53+00:00,es,1
767692611129868288,241257094,@garcaterra estoy total y absolutamente desesperanzada  @ahorapodemos,2016-08-22 11:59:16+00:00,es,0
767692240437338112,377411023,"@sorayita_push bien bien, si estan celebrando un cumpleaños, si todos nacieron el mismo dia hahahahahahha al menos son dos capitulos",2016-08-22 11:57:47+00:00,es,1
767700081353064448,224268173,"@betvs_19 cucha, una independentista escribiendo en español por muy del barça que soy, te vas a buscar la vida  grassias",2016-08-22 12:28:57+00:00,es,0
767699067182940160,936731431,porque son tan manipulables los pequeños  y porque no ven a su padre igual que a su madre  triste,2016-08-22 12:24:55+00:00,es,0
767699027089584128,1478152297,@apoyocr7 muy chulas esas gafas paula  y lo de guapa es talento innato tuyo :,2016-08-22 12:24:45+00:00,es,1
767729800664539136,106488518,"@diegopajaron @miguel_prat dicen que tira pa, san mateo ahora jaaja",2016-08-22 14:27:02+00:00,es,none
767725883432009728,435287215,esta tarde me voy a comprar un juego que estuve esperando muchisimo tiempo posiblemente lo suba esta tarde-noche  yoshi aparece,2016-08-22 14:11:28+00:00,es,1
767725615751593984,2375551268,"que depresion me entra, de seguro gana gente que solo dio rt porque si, por probar suerte y no verdaderos fans",2016-08-22 14:10:25+00:00,es,0
767725383185788928,1598745216,"gracias victorerubio por recomendarme el seguimiento de @mandalabeach artistas de talla internacional, monologos y musica en directo",2016-08-22 14:09:29+00:00,es,1
767728214835924992,414042522,@ryfsw jajajaja eso es una indirecta  preparate f que quiere reformar el baño,2016-08-22 14:20:44+00:00,es,0
767727445663424512,2221463928,work from home seria espectacular y poder verlas mas  conmtval727tour,2016-08-22 14:17:41+00:00,es,1
767727410645176320,291674136,"esta bien tener hermanos, siempre y cuando uno de ellos no decida ser subnormal perdido",2016-08-22 14:17:33+00:00,es,0
767731763766525952,106488518,@diegopajaron @miguel_prat doble sub-campeon de europa  algo es algo jaja,2016-08-22 14:34:50+00:00,es,1
767731358739402752,2192359777,@luisfbonilla @isabelsevilla9 @adirecto @peichsantana ole los buenos almerienses mil besitos,2016-08-22 14:33:14+00:00,es,1
767731034419003392,88470290,@tonithrowdown ahora tengo un dilema ayudame toni y en 3ds porque me salio a 25 euros nuevo https://tco/2bsrmwnrz5,2016-08-22 14:31:57+00:00,es,none
767730342723743744,993966698,lo mejor es que son conversaciones normales y corrientes sin ningun animo de ligar pero  simplemente porque no se ligar,2016-08-22 14:29:12+00:00,es,neu
767723670479536128,930030337,@dieraposa @drxaverius y otros biologos como el se sentiran complacidos mola mucho,2016-08-22 14:02:41+00:00,es,1
767733403785584640,3107794624,"estas haciendo muy feliz a todo mi tl,yo tambien quiero que me sigas  @blasauryn",2016-08-22 14:41:21+00:00,es,1
767733229231153152,714623098159505408,"@iruri gracias, ya eran necesarias tras un duro año de trabajo  has cogido tu ya",2016-08-22 14:40:40+00:00,es,1
767732992827613184,1195355808,"@mrmedra ay, joder, que resulta que es completamente vegana pues ya no me la compro",2016-08-22 14:39:43+00:00,es,0
767751112573194240,3007795841,"@jecaswords @humoryfotos el tuit va acompañado de una foto que quiere decir lo contrario, si es sarcasmo",2016-08-22 15:51:44+00:00,es,none
768071182587494400,4180911,"@edortaramirez un click mas, scroll y a veces el usuario se queda un poco colgado sin saber bien lo que tiene que hacer",2016-08-23 13:03:34+00:00,es,0
768070559825530880,167083720,"@ronan_coke @angelesuc1 @josecg96 @airatarra @andarellabcn muy triste, pero no olvidemos la inestimable colaboracion del estado en ello",2016-08-23 13:01:06+00:00,es,0
768070129489969152,4833165791,@escapeofthecrow el rottweiler es precioso pero esta zumbadisimo y ataca  y yo muero de ganas de achucharlo,2016-08-23 12:59:23+00:00,es,0
768117878197522432,16555832,@rossiepussie @luciakawaii1 te lleguen a entender y a respetar muy malos tienen que ser para obligarte a comer algo a la fuerza,2016-08-23 16:09:07+00:00,es,0
768117343599812608,99989361,@andreanavedo hola bella andrea que tengas un maravilloso dia besitos,2016-08-23 16:07:00+00:00,es,1
768137683407343616,16645602,@todomegadrive esta vez me decanto por la japonesa p me encanta la batalla de caratulas,2016-08-23 17:27:49+00:00,es,1
768137083839971328,996951168,@marcklebowski michael jackson tambien y la gente canta sus canciones,2016-08-23 17:25:26+00:00,es,none
768136915803660288,550951887,@miraqbien podrias solidarizarte conmigo y no comer ninguno,2016-08-23 17:24:46+00:00,es,neu
768136146199142400,102015242,@kioskoamm @gloris72 @olivares1965 @tomasimedia @madeinleon gracias pero los importantes sois vosotros  los mediadores  sois muy buenos,2016-08-23 17:21:43+00:00,es,1
768136027303215104,46402822,volviendo a la actividad en planetainquietante con otro curioso hallazgo en canelas  portonovo,2016-08-23 17:21:14+00:00,es,none
768138258987573248,192813270,"@rarrochar bien dicho roberto,  las cosas por su nombre,  porque nadie dice cola cado",2016-08-23 17:30:06+00:00,es,1
768135201386065920,1254409543,me acaba de seguir una pagina para ligar por gustos musicales se que estoy sola pero,2016-08-23 17:17:57+00:00,es,0
767835844904382464,16273445,@fannygenguix estaras super mona  cuando pueda lo mirare yo tambien me molaria grupal de 'chicas spidey',2016-08-22 21:28:25+00:00,es,1
767884595278782464,634114560,"@estherswaggy haces tambien la misma carrera jo, igual de una comunidad a otra cambian, be positive",2016-08-23 00:42:08+00:00,es,neu
767875344254832640,4228940069,@polifack yo es que me asusto muy facil con el rollo paranormal,2016-08-23 00:05:23+00:00,es,0
767877851848802304,2586416774,"@broomkurosawa pues descansa tio, si se pone grave la cosa no podras jugar en muchisimo tiempo",2016-08-23 00:15:21+00:00,es,0
767877566992674816,3391298271,@cantabriamiguel @fabiana_tfp @elmundoes @larazon_es @elpais_espana n escarmentams a ver si van a ser mismas encueshshtasshs eh @ierrejon,2016-08-23 00:14:13+00:00,es,0
767883067952394240,2765492080,sara piensa q vivo rayada xq me duermo escuchando a beret y weno,2016-08-23 00:36:04+00:00,es,0
767882830282194944,4242735448,yo con un mensaje de buenos dias y un corazon soy feliz,2016-08-23 00:35:07+00:00,es,1
767878422261628928,432002591,@anhela_ @maxferibar @elprogramadear @psoe asi es compañera un fuerte abrazo,2016-08-23 00:17:37+00:00,es,1
767672110835728384,99989361,@normaruiz01 y tu tan estupenda como siempre besitos y feliz dia,2016-08-22 10:37:48+00:00,es,1
767670654757896192,61499019,al menos con ftwd se me hace mas ameno esperar a twd en octubre,2016-08-22 10:32:01+00:00,es,1
767670496909492224,137048976,@funinfvneral que burrada pusieron hoy que llevo meses bloqueada por otra heterada y me lo perdi,2016-08-22 10:31:23+00:00,es,0
767757384395714560,90583878,@yeyiximmm hace una semana que se sabe  yo ya espero la edicion completa del juego,2016-08-22 16:16:39+00:00,es,none
